epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,1155.7,1.00796,0.76821,2.26145,0.59084,0.84018,0.7372,0.58077,0.94083,0.82307,2.32014,0.0099986,0.0099986,0.0099986
143,1164.61,1.05256,0.78111,2.19655,0.63783,0.69818,0.71394,0.55015,0.9734,0.83192,2.43219,0.00999859,0.00999859,0.00999859
144,1172.37,1.04708,0.7716,2.19061,0.65138,0.76156,0.75361,0.57891,0.96809,0.82132,2.33886,0.00999858,0.00999858,0.00999858
145,1180.31,1.02114,0.78451,2.23097,0.63116,0.74597,0.72826,0.55915,0.99085,0.84973,2.3478,0.00999857,0.00999857,0.00999857
146,1187.98,1.04789,0.76708,2.1581,0.62491,0.78857,0.73719,0.56682,0.97405,0.78507,2.37149,0.00999856,0.00999856,0.00999856
147,1196.11,1.03077,0.76228,2.19291,0.64976,0.73506,0.73653,0.56886,0.96806,0.81324,2.36238,0.00999855,0.00999855,0.00999855
148,1204.13,1.03798,0.79285,2.23249,0.6272,0.79169,0.74833,0.57727,0.93138,0.79639,2.35508,0.00999854,0.00999854,0.00999854
149,1212.12,1.0138,0.78771,2.20794,0.63269,0.7937,0.74739,0.58772,0.92701,0.76706,2.33872,0.00999853,0.00999853,0.00999853
150,1220.03,1.03293,0.76774,2.17192,0.58788,0.79636,0.70779,0.53828,0.96892,0.78327,2.38563,0.00999852,0.00999852,0.00999852
151,1227.37,1.0112,0.76034,2.23831,0.62747,0.77247,0.72678,0.56893,0.9483,0.77568,2.3523,0.00999851,0.00999851,0.00999851
152,1235.04,1.01331,0.76956,2.16645,0.64443,0.7852,0.74882,0.59231,0.91181,0.78021,2.31098,0.00999851,0.00999851,0.00999851
153,1243.44,1.00405,0.75171,2.1891,0.61669,0.73662,0.69664,0.54923,0.93119,0.79384,2.36226,0.0099985,0.0099985,0.0099985
154,1251.32,1.01093,0.74051,2.1516,0.65406,0.78182,0.73749,0.59055,0.92092,0.77092,2.30603,0.00999849,0.00999849,0.00999849
155,1259.19,1.00096,0.76096,2.25168,0.61156,0.72883,0.70617,0.56659,0.9095,0.83254,2.32316,0.00999848,0.00999848,0.00999848
156,1266.71,0.99109,0.74107,2.20791,0.58247,0.77974,0.69415,0.55004,0.92843,0.7709,2.36623,0.00999847,0.00999847,0.00999847
157,1274.57,1.02683,0.71651,2.18274,0.67887,0.74897,0.76879,0.61828,0.89818,0.76665,2.29958,0.00999846,0.00999846,0.00999846
158,1282.63,0.97986,0.74786,2.17951,0.66227,0.81506,0.78049,0.62309,0.90049,0.74209,2.28608,0.00999845,0.00999845,0.00999845
159,1290.95,1.02899,0.74818,2.14539,0.60392,0.75325,0.70353,0.53394,0.98154,0.81218,2.39698,0.00999844,0.00999844,0.00999844
160,1298.84,1.0159,0.74908,2.16734,0.64514,0.83205,0.77313,0.61486,0.92364,0.75324,2.28303,0.00999843,0.00999843,0.00999843
161,1306.33,0.95828,0.74629,2.23794,0.64152,0.78286,0.75595,0.59948,0.91778,0.77328,2.30186,0.00999842,0.00999842,0.00999842
162,1314.33,1.02944,0.74806,2.13544,0.59585,0.79957,0.73781,0.57152,0.96898,0.78191,2.32969,0.00999841,0.00999841,0.00999841
163,1322.07,0.97427,0.74373,2.15252,0.66255,0.75532,0.75562,0.59929,0.8639,0.7567,2.31806,0.0099984,0.0099984,0.0099984
164,1329.92,1.01407,0.75196,2.1424,0.63269,0.78442,0.75477,0.59952,0.87696,0.77015,2.32226,0.00999839,0.00999839,0.00999839
165,1338.22,0.95188,0.73765,2.1987,0.61697,0.77569,0.72864,0.58194,0.90657,0.75475,2.31191,0.00999838,0.00999838,0.00999838
166,1346.2,0.95366,0.73056,2.1815,0.61403,0.75948,0.73415,0.58845,0.88446,0.81293,2.31311,0.00999837,0.00999837,0.00999837
167,1353.98,0.96361,0.75049,2.17837,0.66247,0.78609,0.78231,0.63196,0.86957,0.74654,2.29692,0.00999836,0.00999836,0.00999836
168,1362.24,0.9554,0.7304,2.14855,0.65971,0.76468,0.75558,0.59277,0.93395,0.75223,2.31214,0.00999835,0.00999835,0.00999835
169,1370.31,0.98254,0.73274,2.14571,0.61846,0.72312,0.70656,0.56408,0.88836,0.8044,2.32088,0.00999834,0.00999834,0.00999834
170,1378.02,0.96452,0.71939,2.17238,0.67902,0.76935,0.77228,0.60361,0.9195,0.76794,2.32074,0.00999833,0.00999833,0.00999833
171,1385.75,0.97241,0.70938,2.13351,0.6894,0.76571,0.77386,0.60536,0.89155,0.73679,2.35029,0.00999832,0.00999832,0.00999832
172,1393.58,0.95638,0.70096,2.17182,0.62511,0.81338,0.74564,0.5978,0.89455,0.74162,2.28535,0.00999831,0.00999831,0.00999831
173,1401.41,0.95669,0.71226,2.20271,0.64809,0.78354,0.75396,0.60341,0.84468,0.75391,2.36339,0.0099983,0.0099983,0.0099983
174,1409.57,0.97599,0.71238,2.16549,0.65756,0.79584,0.7693,0.62432,0.86055,0.73003,2.34915,0.00999829,0.00999829,0.00999829
175,1417.6,0.95294,0.72119,2.18424,0.61911,0.81922,0.75285,0.61175,0.86281,0.78104,2.26995,0.00999828,0.00999828,0.00999828
176,1425.61,0.95254,0.72021,2.15999,0.6351,0.77394,0.74362,0.59161,0.90138,0.75179,2.366,0.00999827,0.00999827,0.00999827
177,1433.03,0.96164,0.72069,2.11257,0.58445,0.85506,0.74638,0.5876,0.91612,0.7323,2.35953,0.00999826,0.00999826,0.00999826
178,1441.26,0.95948,0.7152,2.14568,0.65894,0.85455,0.7896,0.63286,0.85586,0.69906,2.24091,0.00999825,0.00999825,0.00999825
179,1449.24,0.94186,0.70869,2.16354,0.62691,0.77974,0.7515,0.5925,0.90199,0.74923,2.33993,0.00999824,0.00999824,0.00999824
180,1456.92,0.96725,0.70694,2.17933,0.6159,0.79383,0.73973,0.60021,0.84148,0.75882,2.31357,0.00999823,0.00999823,0.00999823
181,1465.37,0.96618,0.74328,2.18189,0.62339,0.79624,0.74726,0.59287,0.90693,0.72953,2.26033,0.00999822,0.00999822,0.00999822
